Name, Status, Reward Scale, 24h, Week, Month
Broad-Flint-Dachshund, ONLINE, 1.0, 0.95670953, 3.86904199, 17.04084182
Quick-Blonde-Baboon, ONLINE, None, 0.0, 0.0, 0.0
Tart-Emerald-Quail, ONLINE, 1.0, 0.23434879, 1.33676197, 4.49743941
Huge-Ocean-Cyborg, ONLINE, 1.0, 0.51176252, 3.04267275, 8.04839512
Fancy-Paisley-Cormorant, ONLINE, 1.0, 0.78854166, 5.66712363, 20.27717747
Able-Mustard-Copperhead, ONLINE, 1.0, 0.08496842, 0.21982827, 0.21982827
